Word,English Translation / Meaning,Sentence / Phrase (Kankanaey),Sentence / Phrase (English),POS,662
anan-ak,children,Dey manpaypayang si danum nan anan-ak mu ed ruwar.,Your children are playing with water outside.,NOUN,
anap,find,man-anap kas oblam asikan pay mangasawa,You look for a job before you get married.,VERB,
anapek,i'll find,Anapek man kyman nan kagasatak.,I will go and find the one for me.,VERB,
anapem,find,Anapem si warren tan sisya mangitdo sin danan,You go find and find Warren to show the way.,VERB,
anapen,to find,Ta ameyak anapen din pusok ay nalitaw idi tinmaynan ka,I will go and find my heart which was lost when you left me.,VERB,
andap,fog,Labes din andap ed sagabanan.,The fog is too thick the other day.,NOUN,
andap,fog,napuskol andap na no ag-agsapa,The for is thick early in the morning.,NOUN,
ando,tall,Nay an-ando et si ading mu nu sika.,Your younger sibling is now taller than you.,ADJ,
ando,tall/long,Kasapulak han ando ay tali.,I need a long rope.,ADJ,
andoando,very tall,Anay ando-ando ka et kayman mu.,"Wow, you are now very tall.",ADJ,
andoando,very tall,Andoando han anos mu.,Your patience is very long.,ADJ,
anggana,until,Sesed-ek sika anggana mantauli ka.,I will wait for you until you come back.,ADP,
angganas,until a specific time,Angganas Sabado lang nan maidwat ko ay mang-ipalpasam sisa.,I can only give you until Saturday to finish that.,ADP,
anggay,enough / that's it,Anggay et sa adam paylang mananap si teken ay amagem.,"That's enough, don't find other things to do.",ADV,
anggey,only,Ay anggey ka si inmali?,Is it only you who came?,ADV,
anghel,angel,Kaman ka anghel ay binmaba san lubong malpo ed langit.,You are like an angel who down to this world from heaven.,NOUN,
ani,harvest,Ay ado din ani yo ed wani?,Do you have bountiful harvest today?,NOUN,
anido,bonfire,Entako ed anidoan tanay mantangnin.,Let us go to the bonfire as it is chilly.,NOUN,
anien,to harvest,Anien tako et din pagey ed payew ta adi kalemlem.,Let us harvest the rice from the rice paddies before the typhoon comes.,VERB,
anig,bee,Adu din anig ed dontog.,There are many bees in the mountain.,NOUN,
anito,ghost / spirit,,,NOUN,
annad,careful,Annad lang.,Be careful.,ADJ,
annadan,to be careful,,,ADJ,
annawa,wide,Annawa din tinawid na ay sanikua ken alapo na.,His inheritance is wide.,ADV,
anos,patience,Nan anos ya gaget et kasasapulan sin biag.,Patience and perseverance is very much needed in life.,NOUN,
anosak,i will be patient,,,VERB,
anosam,be patient (2nd POV),,,VERB,
anosan,to be patient,,,VERB,
anosana,to be patient (3rd POV),,,VERB,
apal,jealousy / envy,Baken aped apal nan enka inenemnem/,Do not always think about envy.,NOUN,
apat,talk / speak,Man-apat da anti ken manang si awni.,My aunt and older sister will talk later.,NOUN,
apaten,to talk to,Enka apaten nan kakasinsin mu ta adim mankukulong san kwarto.,"Go and talk to your cousings, do not just stay in your room.",VERB,
apay,why,Apay ngata uray sinuy rigat ay mang-awat ken sika yan adi ta latta mankinaawatan.,"Why is it that no matter how hard I try to understand you, we still cannot understand each other?",SCONJ,
aped,why,Aped py kegnay naiyat din ublam?,Why is your work like this?,SCONJ,
aped,caused,Ngan kinkinan mo et dakan aped mansakit mu.,What have you been eating that caused you to be sick.,ADV,
apid,braid,Mayat apid mu.,Your braid looks good.,NOUN,
apit,harvest,Kas-anu nan apit ngay ed wani?,How is the harvest now?,NOUN,
apitem,to harvest (2nd POV),"Apitem et, adyam pylang sed-en din lemlem.","Harvest it now, don't wait for the typhoon.",VERB,
apiten,to harvest,Manmola ka edwani ta wada sam apiten.,Plant now so you have something to harvest later.,VERB,
apitena,to harvest (3rd POV),,,VERB,
aplos,touch / caress,,,NOUN,
apo,grandchild,Dose amin san aapostol en Apo Dios,The Lord had 12 apostles.,VERB,
apok,my grandchild,,,NOUN,
apom,your grandchild,,,NOUN,
apon,his/her grandchild,,,NOUN,
apos,sulk,Sino pay di si adi umaposan et?,How can I not sulk with that?,NOUN,
apostol,apostle,,,NOUN,
apoy,fire,Bakun ay-ayam din apoy.,The fire is not something to play with.,NOUN,
aptik,short,Aptik ka.,You are short.,ADJ,
arak,alcohol,Arak kasin.,Alcohol again.,NOUN,
ari,king,Mayat panagturong di ari edwani.,The current king is a good leader.,NOUN,
ari,king,,,NOUN,
arig,like / liken,Iarig ko met sika ay kabsat a.,You are like a sibling to me.,ADJ,
arin,his/her/their king,,,NOUN,
arina,flour,Enka utuen eht din arina ta manbalinem ay tinapay.,Go and cook the flour turning it into bread.,NOUN,
aritos,earring,"Dakedake din arito anti, nadagsen pylang.","Aunt;s earrings is very big, it is also heavy.",NOUN,
armas,weapon,Nanbalinen na ay armas din lapis.,He turned the pencol into a weapon.,NOUN,
asa,sharpen,Inasa na din banig tan manparti sisya si manok.,He sharpened the knife because he will butcher chicken.,NOUN,
asawa,spouse,Si asawa na iman han nang iyurnos din baey da ed ili.,Her spouse was the one who repaired their house back at our hometown.,NOUN,
asawa,husband/wife,,,NOUN,
asawaen,to marry,Eg-an mu ay asawaen py din gayyem mu?,When will you marry your lover?,NOUN,
asawaena,to marry (3rd POV),Asawaena et kanu tan dey nasikogan.,He will marry her because she is already pregnant.,NOUN,
asawak,my husband/wife,,,NOUN,
asawam,your husband/wife/spouse,Alam san tulo ay nuwang ta say asawam,Take those three carabaos so they can be your spouse.,NOUN,
asawan,his/her husband/wife,,,NOUN,
asi,pity,Kumaan ka et ta adi mamaid asik ken sika.,Go now while my pity is still here.,NOUN,
asi,expression,Asi ka uway et garud.,Do it your way then.,INTJ,
asibaga,to tell,Asibaga da et si layden da.,They are just saying whatever they like.,VERB,
asiila,to see,Asiiila da sina ay banda begew ken sika.,People are looking this way because of you.,VERB,
asim,your pity,Ay talaga ay maid asim ken da inam?,Do you really have no pity for your parents?,NOUN,
asin,salt,Wada nan asin ed uneg di kabinet.,The salt is inside the cabinet.,NOUN,
aso,dog,,,NOUN,
asok,smoke,"No wada asok, wada watwat.","If there is smoke, there is a gathering.",NOUN,
atap,wild,Enda anupan din atap ay ugsa ed bilig.,They will hunt for the wild deer in the forest.,ADJ,
atep,roof,Enka isimpa din atep di abong yo tan dey itayaw di dagem.,Go and fix your house's roof for it might be blown away by the wind.,NOUN,
atik,few,Atik lang nabati san ineegnak.,There is only a few left with what I am holding.,ADJ,
atong,hot,Man-atong py abe yan.,It is hot.,ADJ,
aw,yes,"Aw, ameyak.","Yes, I will go.",ADV,
awak,body,Sika han manpalpaligat din awak mu.,You are the one makng things difficult for yourself.,NOUN,
awat,receive,,,VERB,
awat,understand,,,VERB,
awatek,to receive (1st POV),Awatek ed patawa han iyalim.,I will get what you give me by the window.,VERB,
awatem,to receive(2nd POV),Awatem kad na.,Receive this.,VERB,
awatem,to understand(2nd POV),Anusam ta awatem inyat na ay nasolbar.,Be patient and understand how it was solved.,VERB,
awaten,to receive,Sa awaten manang ed pasegpan nu emey mu idwat.,My sister will receive it by the door when you give it.,VERB,
awis,invitation,Nay ed wani dumteng din awis para din bonyag di potot manung na.,The invitation for his brother's child has arrived now.,NOUN,
awisek,i'll invite,Awisek tu dakau si umali ay piyasta.,I will invite you this coming fiesta.,VERB,
awisen,to invite,Aw-awisen da manong dakami ay makigagayam ed kad-an da.,My brother is inviting us to bond at their place.,VERB,
awisena,he/she will invite,Awisena kanu si gayyem na ay sumaa ed kad-an da ina na.,He will invite his partner to go home at his mother's place.,VERB,
awni,wait,Awni ta malpas am-amagek sipay emey ayagan sisya.,Wait for me to finish what I am doing before I will go and call for him.,VERB,
ay-ayam,game,Naabak ak sin ay-ayam,I lost the game,NOUN,
ayag,call for someone,,,VERB,
ayagak,call for someone (1st POV),Ayagak sika ta enta makibadang ed nateyan.,I am calling you for us to go and help at the wake.,VERB,
ayagam,call for someone (2nd POV),Ayagam gedan si Vin ta maitakin ed Tadian.,Also call for Vin to go to Tadian together.,VERB,
ayagan,to go and call for someone,Awni ta malpas am-amagek sipay emey ayagan sisya.,Wait for me to finish what I am doing before I will go and call for him.,VERB,
ayagana,call for someone (3rd POV),Ay inayagana c manung na?,Did she call for her brother?,VERB,
ayam,play,Enta man-ayam ed ngato.,Let's go play upstairs.,VERB,
ayos,flow,Mayat ayos di danum ed wanga.,The water flows smoothly in the river.,VERB,
ayowan,care,Aye pay ayowan da inam ken sika.,Your mother's care for you is overflowing.,NOUN,
ayowanak,to care for (1st POV),Ayowanak si ading ko tan dey nasasakit iman.,I will take care of my younger sibling as he is sick.,VERB,
ayowanam,to care for (2nd POV),Aywanam nan pammati ay naidwat ken sika.,Take care of the trust given to you.,VERB,
ayowanan,to care for,Aywanan di anak nan ina ya ama isnan maud-udi ay agew da.,A child takes care of his parents in their final days.,VERB,
ayowanana,To care for (3rd POV),Ayowanana adi tan siya iyat na mangsubalit din pananglayad da ken sisya.,"Of course, she cares for them as it is her way of giving back the love she received.",VERB,
baa,servant / maid,Adi kayo manseseed si baa tan baken kau baknang.,Don't wait for a maid as you are not rich.,VERB,
baak,my servant,Sisya nan nabatbati ay baak manipud kinaongak.,He is the only servant left from my younger days.,NOUN,
baak,old single person,Adu-adu nan baak ed ay mail-ilak.,I see so many old and single people around.,ADJ,
baam,your servant,Ay baam sa?,Is he your servant?,NOUN,
baan,the servant of,Ado nan baan di baknang ed sidi.,The rich over there has so many servants.,NOUN,
babai,referring to a female,Babai nan anak na.,He has a daughter.,NOUN,
babai,woman/lady,Babai nan sinabat di kasinsin ko.,My cousin met with a woman.,NOUN,
babai,girl,Estem han badom amed tay babai ka.,Fix your clothes specially since you are a girl.,ADJ,
babaknang,rich,Nan iyat di babaknang,What the rich do,ADJ,
babalasang,ladies,Babalasang di Kabayan nan maila ed Adivay.,The ladies of Kabayan can be seen during the Adivay.,NOUN,
babassang,lady,Nay babassang et nan kaanakak.,My niece is already a lady.,NOUN,
babawi,regret,Maudi nga talaga nan babawi.,Regret really is in the end.,NOUN,
babbabai,ladies,Babbabai nan naurnong ed eskwelaan.,Ladies were gathered at the school.,NOUN,
babbaro,gentleman,Nangabadang iman din babbaro adey.,That gentleman helped me.,NOUN,
badang,help,,,VERB,
badangak,i will help,Badangak et sika ta malmalpasan di ubla.,i will help you so that the work will be done already.,VERB,
badangam,you help,Badangam sisya ta adi matokang,Assist her so she won't fall down,VERB,
badangan,to help,Badangan latta nan maila ay marigatan sinan danan.,Help whoever you see is struggling along the way.,VERB,
badanganas,he/she will help someone,Badanganas Mak ay manbuhos.,He will help Mak to pour concrete.,VERB,
bado,clothes,"Nu ilam din bado ay naiwarang, alam ta isingpam.","If you see scattered clothes, fix it.",NOUN,
badok,my clothes,Pakilabam kad din badok.,Please wash my clothes.,NOUN,
badom,your clothes,Ay badom naibibilag ed ruwar?,Are those clothes hanging outside yours?,NOUN,
badon,his/her clothes,Badon anti din kupkupinek.,I am folding aunt's clothes.,NOUN,
baga,tell/call out/advice,,,VERB,
bagaam,you call him out / you give advice,Bagaam si inaudim ta adin malalabian.,Tell your sibling to not always come home late.,VERB,
bagaan,to call out / give advice,Akseptarem latta nu bagaan da sika tay nankamali ka met iman.,Accept it if they call you out as you have made a mistake.,VERB,
bagang,neck,Napigket din bagang na gapu din baat.,His neck is sticky due to the banana stains.,NOUN,
