Pangasinan Word,Root Word/Lemma,English Equivalent,Part of Speech (POS) Tag
imásmas,imásmas,recover from illness,V
imatón,imatón,"observe, see, witness",V
imbél,imbél,"hurt feellings, resentment",V
ímbis,ímbis,instead,ADV
ímeng,ímeng,"hot, warm",ADJ
imigrásyon,imigrásyon,immigration,NOUN
imis,imís,smile,NOUN
ímis,ímis,smiling,ADJ
immangob,angób,smelled,V
immuna,uná,"first, earlier",ADJ
ímpis,ímpis,thin object,NOUN
imprÉnta,imprÉnta,print,V
imsáy,imsáy,gentle,ADJ
ímus,ímus,shapely,ADJ
imutektek,mutétek,"to concentrate on, remember",V
in-inut,inut,"slowly, little by little",ADV
iná,iná,mother,NOUN
inaaraw,áraw,"advancing, spreading",V
inagém,inagém,"fever, sickness",NOUN
inám,inám,crave,V
inan,ínan,a place to put something,NOUN
ínan,ínan,to put,V
ínap,ínap,suspicion,NOUN
ináraméy,ináraméy,"string, thread",NOUN
inararo,aró,loved,V
inasín,inasín,aged relish,NOUN
inatéy,inatéy,"dead, deceased",ADJ
ináwa,ináwa,"relief, rest, repose",NOUN
inbitá,inbitá,invite,V
inchík,inchík,Chinese,NOUN
índan,índan,"left, abandoned",ADJ
indEpEndiÉntE,indEpEndiÉntE,independent,ADJ
indórso,indórso,endorse,V
industria,industria,industry,NOUN
Inen,Inen,"when, since",ADV
iner,iner,where,ADV
inér,inér,where,ADV
ingal,íñgal,"noise, sound",NOUN
iñgál,iñgál,"noise, shouting, altercation",NOUN
iñgás,iñgás,hard breathing,V
iñgát,iñgát,toothpick,NOUN
iñgén,iñgén,"but, moreover",CCONJ
ingEniÉro,ingEniÉro,engineer,NOUN
iñgét,iñgét,narrow,ADJ
ingkamakatak,ingka,belonging to me,PRON
IñglatÉrra,IñglatÉrra,England,PROPN
iñglÉs,iñglÉs,English,ADJ
íñglét,íñglét,cruel,ADJ
iñgóñgot,iñgóñgot,"annoyance, anger, wish, hope",V
inhEniÉro,inhEniÉro,engineer,NOUN
inkantáda,inkantáda,fairy tales,NOUN
inkianak,anák,birth,NOUN
inkioli,óli,resurrection,NOUN
inmasenso,asenso,"advanced, progressed",V
inmoná,oná,first,ADJ
inmuna,uná,"earlier, first",ADV
inóm,inóm,drink,V
inomáy,inomáy,ease,NOUN
inóñg,inóñg,boy playmate,NOUN
inót,inót,do slowly,ADV
inpanbiláy,biláy,"alive, living",NOUN
insan,insán,"then, afterwards",ADV
insán,insán,"then, next",ADV
inspiración,inspiración,inspiration,NOUN
insúlto,insúlto,insult,V
intEligÉntE,intEligÉntE,intelligence,NOUN
intElihÉntE,intElihÉntE,intelligence,NOUN
inter,iter,"gave, provided",V
intErmÉdia,intErmÉdia,intermediate,ADJ
intsík,intsík,Chinese,NOUN
inútil,inútil,"disabled, useless",ADJ
invitación,inbitá,invitation,NOUN
iobóng,iobóng,to surround,V
ípag,ípag,sister-in-law,NOUN
ipagamor,amór,"to deliver, entrust",V
ipanpon,iponpon,to bury,V
ipapanabwas,abwás,to put off until tomorrow,V
ipét,ipét,tightness,V
ipikasid,ikási,to pray to,V
ipíl,ipíl,acacia variety,NOUN
ipón,ipón,very small fish,NOUN
ir,iray,linker/plural marker,X
ira,ira,"they, them",PRON
irá,rá,they,PRON
iran,íran,plural linker,X
irap,írap,"hardship, difficulty",NOUN
írap,írap,"hardships, torment",V
irí,irí,"indecision, restlessness, vacillation",NOUN
iróg,iróg,"dirty gold, impure gold, garish",ADJ
iróñg,iróñg,sit,V
iroñgán,iróñg,"chair, bench, suite of furniture",NOUN
isá,isá,one,NUM
isáw,isáw,food from animal,NOUN
ísip,ísip,mind,NOUN
isís,isís,scour,V
ísla,ísla,island,NOUN
isnéto,isnéto,adjust to something,V
ispirito,spiríto,spirit,NOUN
istoryaen,istorya,"to narrate, tell a story about",V
itá,ta,we two,PRON
itáw,itáw,girl playmate,NOUN
itayó,tayó,we,V
itér,itér,give,V
ití,ti,we,PRON
ítik,ítik,native duck,NOUN
íto,íto,small catfish,NOUN
itsarón,itsarón,"chicharon, fried dried, fatty animal skin",NOUN
itsúra,itsúra,"kind, face, appearance",NOUN
Iwagwág,wagwág,"shake out a sack, empty a container",V
iwas,íwas,"to avoid, dodge",V
íwas,íwas,"shift position, shift something",V
íwi,íwi,"care of, for animals",NOUN
iyabét,yabét,to hand something over,V
iyan,yan,to put,V
íyan,yan,contents,NOUN
iyogyóg,yogyóg,to shake,V
iyopót,yopót,to empty completely,V
jardín,jardín,garden,NOUN
jÉfE,jÉfE,chief,NOUN
jose,Jose,Jose,PROPN
juÉtEng,juÉtEng,gambling game,NOUN
juÉvEs,juÉvEs,Thurday,NOUN
juÉz,juÉz,judge,NOUN
júlio,júlio,July,NOUN
júnta,júnta,ruling committee,NOUN
júsi,júsi,cloth,NOUN
justícia,justícia,justice,NOUN
jústo,jústo,enough,ADJ
juzgádo,juÉz,court,NOUN
kaatagéy,tagéy,"height, altitude",NOUN
kabagaán,baga,people usually invited,NOUN
kabagelan,bagél,"strength, power",NOUN
kabaglán,bagel,madness,NOUN
kabáleg,báleg,"area, size",NOUN
kabaleyán,báley,person from the same province or town ,NOUN
kabaliksán,balikás,"implied, meaning to say",NOUN
kabayawasan,bayawás,"guava place, orchard",NOUN
kabelér,belér,"valor, diehard courage",NOUN
kabilañgán,biláñg,life,NOUN
kabinyág,binyág,been baptized,NOUN
kablían,bilí,"costly, expensive",NOUN
kabontatala,Kabontatala,Kabontatala,PROPN
kabosól,bosól,"enemy, foe",NOUN
kabuasan,búwas,"tomorrow, morning",NOUN
kabuasán,buás,morning,NOUN
kada,kada,"every, each",ADJ
kadalanan,dalan,system of roads,NOUN
kagagálaw,galáw,action,NOUN
kaganó,ganó,soon,ADV
kagapógapó,gapó,apprentice ; having just begun,NOUN
kagawaán,gawá,"instrument, tools ",NOUN
kagnapán,genáp,realization,NOUN
kaha,kaha,"box, container",NOUN
kaíba,íba,"accompaniment, mate, chaperon",NOUN
kaikalán,ikál,abortion,NOUN
kaíndan,índan,"left, abandoned",ADJ
kaísipán,ísip,"voice, opinion",ADJ
kakanáan,kaná,"use, effect",NOUN
kakaríton,kakaríton,"baby cart, pushchair",NOUN
kakolañgan,kolangan,"lacking, inadequacy",NOUN
kalabián,kalabian,"last night, the previous night",NOUN
kalakal,kálakal,"trade, merchandise",NOUN
kalaktip,laktip,"accompany, include",V
kalañgueran,languer,"teenagers, youth, younger generation",V
kaliberliber,líber,surroundings,NOUN
kamalerwa,kamalérwa,"soul, spirit",NOUN
kamátis,kamatis,tomato,NOUN
kamelág,melág,smallness,NOUN
kamés,kames,to mix,V
kami,mi,we,PRON
kamí,kami,"us, we",PRON
kamin,kamín,"we, us",PRON
kamisadEntro,kamisa,shirt,NOUN
kamisÉta,kamiseta,undershirt,NOUN
kamóro,kamoro,pimples,NOUN
kámot,kamot,"raise food to the mouth, eat with the hands",NOUN
kamótE,kamote,"camote, sweet potato",NOUN
kamótEng,kamote,káhoy cassava,NOUN
kamóyong,móyong,a rival in love,NOUN
kampána,kampana,bell,NOUN
kampanan,kampanána,bell,NOUN
kámpay,kampay,"act of flying, spreading the wings",V
kámpit,kampit,big kitchen knife,NOUN
kámpo,kámpo,army camp,NOUN
kamposánto,kamposanto,cemetery,NOUN
kamundoan,mundo,"the world, earth",NOUN
kan,kan,to eat ,PART
kaná,kaná,"to serve for something, be fit, advantageous",NOUN
kanáw,kaná,"to mix, stir",NOUN
kanawnáwa,kaná,"easy, comfortable",NOUN
kanáyon,kanding,relative,NOUN
kandádo,kandado,padlock,NOUN
kandidáta,kandidata,candidate ,NOUN
kandidáto,kandidato,candidate ,NOUN
kandíla,kandila,candle,NOUN
kandíng,kanding,goat,NOUN
kandóng,kandong,tree with round leaves used in the preparation of dye,NOUN
kánen,kain,food,V
kanéyney,kanéyney,"moderate, just enough",NOUN
kañgkáñg,kañgkáñg,"shake off dress, spread out to dry",NOUN
káñgkoñg,káñgkoñg,"Ipomea reptans, a vine similar to camote, used as a green vegetable",NOUN
kanián,kani,"therefore, so, accordingly",NOUN
kanión,kani,home-made miniature cannon fashioned from bamboo tubing,NOUN
kankantí,kanti,firefly,V
kanonotán,nónot,plan,NOUN
kánot,kanot,fibrous part of the langka fruit,NOUN
kansión,kansión,song,NOUN
kansionán,kansión,singing contest ,NOUN
kánta,kánta,to sing ,NOUN
kanunutan,nónot,"thought, mind",NOUN
kaogalián,ogáli,tradition,NOUN
kaogesan,óges,"wickedness, evil",NOUN
kaokolán,kaokolán,that which has to be done,NOUN
kaót,kaót,"get something from a closet, packet",V
kaóyos,oyós,"end, termination",NOUN
kapá,kapá,feel for with the hands,V
kápa,kápa,"collar, hood",NOUN
kapagaán,pága,worries,NOUN
kapál,kapál,thickness,ADJ
kapáy,kapáy,make a stroke in swimming,NOUN
kapés,kapés,cotton,NOUN
kapig,kapig,asking when ,V
kápis,kápis,"sack not filled to capacity, empty stomach",NOUN
kápit,kápit,"seedless, immature fruit",V
kapitán,kápit,captain,NOUN
kapkáp,kapkáp,"feel, touch with the palm of the hands",V
kápol,kápol,"mixture for filling up hole, to fill with wax ",NOUN
kapót,kapót,"lid, to close ",V
kápoy,kápoy,"weakness, debility",ADJ
karág,karág,to stamp the foot heavily,V
karakkák,karakkák,laughter,NOUN
karaklan,dakél,"the majority, many people",NOUN
kárang,kárang,shelter made of nipa and placed on boat or carabao cart,NOUN
karápas,karápas,"touch, come across",NOUN
kárat,kárat,"person or animal just recovering from illness, thin‚ emaciated",NOUN
káraw,káraw,to go courting ,V
kareenan,reen,"peace, calmness, tranquility (Abstract noun)",NOUN
kargá,kargá,"to fill, put into",V
karí,karí,adV indicating intensity,V
karibál,ribál,rival,NOUN
karinyó,karinyó,affection,NOUN
kárit,kárit,"to extract the juice of the nipa palm for making vinegar, small sickle",NOUN
karitón,karitón,cart,NOUN
karnÉro,karnÉro,"sheep, mutton, lamb",NOUN
karól,karól,thunder,NOUN
káromán,káromán,yesterday,NOUN
karót,karót,to pinch,NOUN
karsáda,karsáda,road,NOUN
karsón,karsón,"pants, trousers",NOUN
kartaplúma,kartaplúma,pocket knife,NOUN
karúsa,karúsa,float of queen during fiesta parade,NOUN
kasabim,sábi,when you arrive,V
kasakbáy,sakbáy,before,ADV
kasaksakeyan,sákasakey,"unity, oneness",NOUN
kasál,kasál,marriage,NOUN
kasalánan,kasalánan,"sin, fault, defect",NOUN
kasamák,samák,tenant,NOUN
kasampotán,sampót,end,NOUN
kasantingan,santiñgá,"beauty, goodness",NOUN
kásel,kásel,"to give voice to emotion, thoughts, ",NOUN
kasEróla,kasEróla,casserole,NOUN
kasí,kasí,"isn’t it?, surely, don’t you think?",ADV
kási,kási,"mercy, show mercy to",ADV
kasiá,kasiá,the first time,ADV
kásig,kásig,outrigger made of bamboo,ADJ
kásil,kásil,"power, vigor, strength, health",NOUN
kasílyas,kasílyas,toilet,NOUN
kaskasiyan,kasí,pitiable,ADJ
káso,káso,"case, event",NOUN
kastíla,kastíla,"Spaniards, Spanish",NOUN
kasulatán,súlat,"things one likes to write, persons one likes to write to",NOUN
kasumpal,súmpal,after finishing,V
katáo,katáo,person,NOUN
katát,katát,leather,NOUN
katawán,katawán,"lord, master",NOUN
katáy,katáy,saliva,V
káti,káti,"low tide, go out of the tide",NOUN
kátli,kátli,"scissors, cut with scissors, use scissors ",NOUN
kátneb,kátneb,"put in a hole, bury in a hole ",NOUN
katólañgán,katólañgán,"parents-in-law, to have a son- or daughter- ",NOUN
katoloñgán,tóloñg,ally,NOUN
katórse,katórse,fourteen,NUM
kaukula,kaukula,"necessary, needed",NOUN
kaute-utelay,utel,short,ADJ
káwa,káwa,small caldron,NOUN
káwal,káwal,to alter course,NOUN
kawalaan,walá,"location, where one is",NOUN
kawáli,kawáli,deep frying pan,NOUN
káwanán,káwanán,right hand ,NOUN
kawás,kawás,walk with wide strides,NOUN
kawasá,kawasá,"to be destitute, without hope of work",V
káwat,káwat,wine,V
kawayán,kawayán,bamboo,NOUN
kawayangan,wáyañg,"freedom, liberty",NOUN
kawés,kawés,"clothes, clothing, to dress ",NOUN
kawéy,kawéy,"beckon, get somewhere, find a place",NOUN
kawigí,kawigí,the left hand,ADJ
kawíl,kawíl,large fishhook,NOUN
kawíñg,kawíñg,"link in a chain, to link with chain or cord",NOUN
kawkáw,kawkáw,to wash the private parts with water,V
káya,káya,"advantage, ability to do something",V
kayári,yári,"after, afterward",ADV
kayarián,yári,"right to property, ownership",NOUN
kayás,kayás,scraping with knife,V
káykay,káykay,cleaning material,V
kayo,kayó,you,PRON
kayó,yo,you,PRON
káyo,káyo,piece of cloth,NOUN
kayogtanán,yogtán,youngest child,NOUN
kebet,kébet,"to shrink, wither",V
kebét,kebét,"dry, wither",NOUN
kekéng,kekéng,little finger,NOUN
kelág,kelág,"small, small object",NOUN
kelát,kelát,"convulsion, paralysis",NOUN
keláw,keláw,"surprise, astonish, amaze",NOUN
kelpá,kelpá,fog,NOUN
kémeg,kémeg,lazy person or animal,NOUN
kemél,kemél,"to catch fish with the hands, to fish ",NOUN
kemkém,kemkém,"to hold tightly with the hand, to massage",V
kená,kená,"to hit a target with shot, stone",ADV
kepés,kepés,to empty a swelling ,NOUN
kepkép,kepkép,to pick up and hold a child or object in one's arms,V
kerá,kerá,to leave,NOUN
kerél,kerél,"to be full of people, houses, plants",NOUN
keréw,kerew,"to ask for, beg",NOUN
kesáw,kesaw,to tire,NOUN
késo,keso,cheese,NOUN
ketáng,ketang,tire of being on one’s feet,NOUN
ketég,keteg,boundary of a community or political division,V
ketél,ketel,"to shiver from the cold, freeze, congeal, solidify ",NOUN
ketkét,ketket,to bite ,V
ki,ki,"you, topic, respectful ",PART
kiáwkiáw,kiawkiaw,"gossip monger, talkativeness",V
kíbolós,kibolos,to release ,NOUN
kíbot,kibot,"miserable, dissatisfied, act miserably",V
kídkid,kidkid,"to scrape or sand something, producing fine powder or dust",V
kién,kien,"thing, uhm",PRON
kiéw,kiew,"tree, stick, timber",V
kígtel,kigtel,"to become stiff, set ",V
kígtot,kigtot,astonishment,V
kiláw,kilaw,to eat raw meat or fish,V
kilíkilí,kilikili,armpit,NOUN
kíling,kiling,to fear  ,NOUN
kilíng ,kiling,"observe, take note of, look at ",NOUN
kilíti,kiliti,ticklish,V
kílkil,kilkil,file tool,V
kílo,kilo,kilo,NOUN
kílomÉtro,kilometro,kilometer,NOUN
kilót,kilot,muddy object or state,NOUN
kimát,kimat,lightning,V
kimey,kímey,work,NOUN
kímey,kimey,"work, job, task",NOUN
kínchay,kinchay,Chinese celery,NOUN
kindát,kindat,to wink,V
kindí,kindi,"to, from ",V
kíndi,kindi,candy,NOUN
kínen,kinen,"to, from ",PRON
kínse,kinse,fifteen,NUM
kipapasen,pasén,"situation, condition",NOUN
kípkip,kipkip,something carried under the armpit,V
kirém,kirem,to close the eye ,NOUN
kirép,kirep,eyebrow,V
kírlap,kirlap,to glitter ,NOUN
kisáp,kisap,"to cut small pieces off lumber, metal",V
kísir,kisir,"sparcity, smallness, shortness",NOUN
kitáw,kitaw,to agree,V
kiwál,kiwal,"to stir, turn over rice or dough,",V
kiwás,kiwas,movement or disturbance in a body of water,V
kiwél,kiwel,the motion of a snake when travelling,NOUN
kiwét,kiwet,"become crooked, twisted ",NOUN
kiwí,kiwi,"to twitch, move a part of the body",NOUN
kláse,klase,"class, kind, type",NOUN
ko,siak,"my, by me (Post-positive Genitive)",PRON
ko,ko,"me, my",PRON
kobkób,kobkob,to surround,V
kóbot,kobot,to cover lightly,NOUN
kógkor,kogkor,scratch,NOUN
kógtot,kogtot,move or jump in the water ,V
kokáok,kokaok,"crowing of the rooster, to crow ",V
kokó,koko,"claw, fingernail, toenail",NOUN
kola,kólá,"glue, paste",NOUN
kolaán,kolaan,whereabouts,V
kólan,kolan,witchcraft,NOUN
koláñg,kolang,insufficient,NOUN
kolí,koli,"diligence, industry",NOUN
kolilí,kolili,bamboo fire-sticks,NOUN
kolíndas,kolindas,necklace,NOUN
koliteptép,koliteptep,"to show annoyance, exasperation",NOUN
kolkól,kolkol,quarrel,NOUN
kolnét,kolnet,anything sticky or chewey like toffee,NOUN
kolób,kolob,"cover, bamboo used to cover",NOUN
kolóbong,kolobong,"trap for birds, to set a trap",ADJ
kolókolóng,kolokolong,throat,NOUN
kolóng,kolong,"to enclose, surround",NOUN
kolongán,kolongan,pig pen,NOUN
kolór,kolor,color,NOUN
kolós,kolos,"brook, small stream, canal",NOUN
kólot,kolot,"curl, kinky or curly hair, curl someone’s hair ",NOUN
komalabinsakéy,sakéy,eleventh in order,NUM
komapitó,pitó,seventh,ADJ
komasiám,siám,ninth,NUM
komawaló,waló,eighth,NUM
komersio,comercio,"commerce, trade",NOUN
kómes,komes,to crumple clothes or paper ,NOUN
kómiks,komiks,comic book,NOUN
komís,komis,"to baby sit, watch a child or other",NOUN
komon,komón,"may it be, hopefully",PART
komón,komon,"signifying desire, hope, or anticipation",ADJ
komonyón,komonyon,communion,NOUN
komósta,komosta,how are you,NOUN
kómot,komot,blanket,NOUN
kompápey,kompapey,butterfly,NOUN
kómpay,kompay,sickle,NOUN
kompírma,kompirma,"confirm, confirmation",V
kompisál,kompisal,confession,V
kompóg,kompog,large assembly convened for some specific purpose,NOUN
kon,siak,my (Pre-positive Genitive),PRON
kontra,kontra,against,ADP
kuáb,kuab,to amaze,NOUN
kuán,kuan,"said, thought ",PRON
kuarÉnta,kuarenta,forty,NUM
kuárta,kuarta,money,NOUN
kuárto,kuarto,"living quarters, bedroom",NOUN
kuátro,kuatro,four,NUM
kudkúd,kudkud,to grate coconut,V
kugip,kugip,dream,NOUN
kúgip,kugip,"to dream, dream",V
kuláb,kulab,bite,NOUN
kuláda,kulada,to bleach clothing ,NOUN
kulubót,kulubot,shrivel,NOUN
kumanét,kumanet,crumpled,V
kumpapey,kumpapey,blanket,NOUN
kumpárE,kumpar,companion,NOUN
kuno,kunó,"allegedly, they say",ADV
kurang,kuráñg,"lack, shortage",NOUN
kurso,kurso,course,NOUN
kuryente,kuryente,electricity,NOUN
kusab,kusáb,to burn,V
labá,laba,strike with a stick,V
labajíta,labajita,"small knife, pen knife, pocket knife",NOUN
labák,labak,to divide a butchered animal into big pieces,NOUN
lában,laban,"competition, opponent, fight, liberate",V
labandÉra,labandera,washerwoman,NOUN
labanós,labanos,mustard,NOUN
labás,labas,"to go beyond, pass through, surplus, excess above requirements",V
labát,labat,"just, only",V
labay,labáy,"want, desire",NOUN
labáy,labay,"be wanted, liked ",V
labi,labí,night,NOUN
lábi,labi,"night, evening, become night",NOUN
labin-,labin,-teen ,NUM
labinlimá,labinlima,fifteen,NUM
labínsakéy,sakéy,eleven,NUM
labinsiám,siám,nineteen,NUM
labinwaló,waló,eighteen,NUM
labláb,lablab,glutton,V
labnót,labnot,"grab and snatch with violence, plucking out of hair",NOUN
labó,labo,oil the hair heavily,V
labóg,labog,submerge in water,NOUN
labóglábog,laboglabog,noise made by something going through the water,NOUN
labóng,labong,"young, edible bamboo shoot",NOUN
labót,labot,to pass through or go into a hole or aperture,NOUN
labóy,laboy,"use clothes, fishing equipment,  for the first time",V
labus,labus,naked,ADJ
laclác,laclac,dry leaves of sugar cane,NOUN
ladlád,ladlad,to sharpen on a stone ,V
laed,laed,linker/particle,X
laém,laem,"center, to steer towards",NOUN
laén,laen,intended destination,V
lagá,laga,weave,V
lágak,lagak,"to defend, protect",V
lagangán,lagangan,"hearth, fireside ",NOUN
lagás ,lagas,"remnants of cloth, offcuts of paper, to wound",V
lágay,lagay,to make a garment excessively long,V
lagiát,lagiat,"to convince, attract by argument, persuade ",ADV
laglág,laglag,"to rush ahead, fall from a pocket, purse, ",V
lagó,lago,"healthy, robust individual, plant, or animal",V
lagók,lagok,"drink, to drink ",NOUN
lagór,lagor,"love, affection",NOUN
lagós,lagos,loose ,V
lagót,lagot,"meddle, meddlesome",V
lagsán,lagsan,"omit, miss, pass by, skip ",NOUN
lai,laí,a name/term of endearment,PROPN
laineng,laineng,"scent, odor",NOUN
lainéng,laineng,"slow, sorrowful music",NOUN
laíngen,laingen,"excessively, overwhelmingly",NOUN
lakáp,lakap,to embrace,V
lakatán,lakaran,"long, yellow variety of eating banana",NOUN
laki,lakí,"male, man",NOUN
lakí,laki,"male, boy",ADJ
láki,laki,"grandfather, granduncle",NOUN
laknáb,laknab,"to fill, occupy, inhabit an otherwise empty space",NOUN
laknít,laknit,"to detach, pull out, peel off",NOUN
láko,lako,"merchandise, to sell ",V
lakoán,lakoan,"trading place, market stall",NOUN
lakseb,lakséb,"plunge, dip",NOUN
laktíp,laktip,"to join, unite",NOUN
lalá,lala,midrib of taro,NOUN
laláñg,lalang,teach by example,NOUN
lálo,lalo,especially,ADV
lalóñg,lalong,"cock, rooster",ADV
láma,lama,"to age, lose polish, ",NOUN
laman,lamán,"body, flesh",NOUN
lamán,laman,"body, flesh, meat, muscle, substance ",NOUN
lámañg ,lamang,"ingratitude, infidelity",NOUN
lámat,lamat,"crack, fissure",NOUN
lambáñg,lambang,to walk with wide strides,NOUN
lambeñgát,lambengat,only,NOUN
lambílambí,lambilambi,wattles of rooster or turkey,NOUN
lambóñg,lambong,to boil,NOUN
lámbot,lambot,luxuriant growth of vegetation,NOUN
lamés,lames,"trouble, to treat unjustly, aggrieve",NOUN
lamét,lamet,again,NOUN
lamisáan,lamisaan,table,NOUN
lamlám,lamlam,become accustomed to something,V
lámo,lamo,a small bamboo raft,NOUN
lamót,lamot,root,NOUN
lampáso,lampaso,to scrub,NOUN
lampíñg,lamping,diaper,NOUN
lan,lan,linker particle,X
laná,lana,fragrant coconut oil,NOUN
lána,lana,wool,V
lánañg,lanang,habitually,NOUN
lang,lamáñg,only,ADV
lañgá,langa,"pottery fragments, shards",PRON
lañgáp,langap,force a dog to eat ,NUM
lañgís,langis,sesame,V
láñgka,langka,jackfruit,NOUN
láñgkap,langkap,gift,V
lañgó,lango,body joint ,NOUN
langóche,langoche,sack,V
lañgoy,langoy,to swim ,V
lañguér,languer,become young ,NOUN
lanír,lanir,"to treasure, keep securely",NOUN
lanór,lanor,"excited, happy",V
lánot,lanot,thick fiber,NOUN
lánsar,lansar,to anchor ,NOUN
lánson,lanson,to double boil,V
lansónes,lansones,"tree with small, oblong white-fleshed fruit with bitter seeds",NOUN
lanti,lanti,"of course, indeed",PART
lantí,lanti,"indeed, very much so",V
laók,laok,"to mix, blend ",V
laós,laos,to finish something already begun,NOUN
laót,laot,much more,NOUN
lapá,lapa,branch of palm,NOUN
lapag,lapág,"floor, bottom",NOUN
lápag,lapag,"general, widespread",PRON
lapák,lapak,breaking off or displacing a leg at the joint,X
lápak,lapak,"loose garment, wide",NOUN
lápar,lapar,wide,PRON
lápat,lapat,"drowsiness, lethargy caused by fever,",PART
lápay,lapay,heat clams in water to open them,NUM
lapís,lapis,coconut shell,NOUN
lápis,lapis,pencil,NOUN
lápit,lapit,to put people or objects very close to each other,NUM
lapnít,lapnit,"to detach, pull out or off",V
lapó,lapo,to come from a place ,NOUN
lapód,lapod,because of,V
lápot,lapot,to overdo ,V
lapu,lapú,because of,ADP
lapur,lapú,because of,ADP
larág,larag,"swelling on the body, to swell, become swollen ",NOUN
lárak,larak,"grease, oil",V
larés,lares,thin skin or film,V
largadór,largador,person in charge of a cockfight,NOUN
lárgo,largo,to go directly ,V
larís,laris,sound of whipping or lashing,NOUN
lasí,lasi,"flash of lightning, malediction",NOUN
laslás,laslas,"go ahead, run ahead",V
laslásan,laslasan,contest,NOUN
lasór,lasor,"to go down, descend ",NOUN
lasós,lasos,hundred,NOUN
lasóslasós,lasos,many hundreds,NOUN
láta,lata,"tin, can, dipper",NOUN
laták,latak,"crack, crevice",NOUN
látak,latak,beat with force,NOUN
latan,latan,that,X
latí,lati,"rust, corrosion",V
latlát,latlat,"to rip cloth  with a knife, strip leaves",V
latók,latok,a stake for tethering carabaos ,NOUN
látok,latok,big wooden tray,V
latúp,latup,"to place one thing over another, cover, to double a cover ",NOUN
laurél,laurel,laurel leaves,NOUN
laut,laut,"particularly, especially",ADV
lawanan,lawáñg,"field, open space",NOUN
lawári,lawari,"nearly, it should be so",NOUN
lawas,lawás,always,ADV
láwas,lawas,always,NOUN
lawér,lawer,pepper leaf used for wrapping betel nut,NOUN
lawíg,lawig,"large, long item of clothing",NOUN
layá,laya,to increase the cargo of a boat  in such a way as to be able to make maximum use of the space available,V
layag,láyag,ear; sail,NOUN
layág,layag,ear,V
layák,layak,"fallen leaves, withered leaves about to fall",NOUN
layláy,laylay,"banner, flag, hanging object, limp, wither",V
layóg,layog,"excessive tallness, grow very tall ",NOUN
layón,layon,prolong,NOUN
lebág,lebag,"to increase in volume, expand under pressure",NOUN
lebák,lebak,"fall down, stretched out",NOUN
lebléb,lebleb,to soak in liquid,V
lección,leccion,lesson,NOUN
leche,leche,custard-like dessert ,NOUN
lechón,lechon,"whole pig roasted on a spit, to prepare lechon ",NOUN
lechúgas,lechugas,lettuce,NOUN
leét,leet,"aisle, space between",NOUN
légan,legan,"duration, while",NOUN
legáw,legaw,"to go astray, lose one’s way",V
leglég,legleg,"stupid, unable to learn",V
leíng,leing,to wake up ,V
leksáb,leksab,down,V
léktar,lektrar,escape,NOUN
lemék,lemek,"to become soft, soften",NOUN
lemlém,lemlem,"incubate, sit on eggs to hatch, artificially ripen green fruit",V
lenég,leneg,only,NOUN
lenér,lener,to drown,NOUN
leñgát,lengat,"open the mouth, open a pen-knife or similar instrument",NOUN
lesá,lesa,growth ,NOUN
leták,letak,"cleft, crack",NOUN
letakan,leták,east,NOUN
letáw,letaw,to float,V
letnég,letneg,"to place, erect on a site",NOUN
lÉtra,letra,letter of the alphabet,NOUN
lewét,lewet,to beat,V
liáb,liab,flame,V
liád,liad,to produce juice from buri palm,NOUN
libáñg,libang,"to distract oneself, forget",V
libáñgan,libang,amusement,NOUN
libér,liber,to go around,V
líbo,libo,thousand,NOUN
libóg,libog,"dull, booming sound ",NOUN
líbolíbo,libo,many thousands,NOUN
líbot,libot,procession,V
librería,libreria,library,NOUN
líbro,libro,book,NOUN
licÉncia,lisensya,license,NOUN
lídEr,lider,"head, leader, high official of political party ",NOUN
líga,liga,"lushness, beauty, abundance",V
ligálig,ligalig,restlessness,NOUN
ligís,ligis,"to crush seeds with a rolling pin or similar object, rolling pin, to run over",V
liglíg,liglig,to grind ,V
ligliwa,lígliwa,"comfort, amusement",NOUN
liglíwa,ligliwa,"joy, happiness",V
likas,likás,natural,ADJ
líkas,likas,"to hear something, to proceed with caution ",ADJ
likát,likat,to arrange fibers or threads for winding into skeins ,V
likáw,likaw,"to go around looking without definite purpose, meander",V
likét,liket,"joy, happiness, delight, be happy ",NOUN
líkid,likid,"to dodge, get away from",NOUN
likná,likna,"to feel, sense, deduce from observation",V
líko,liko,"corner, to turn, veer ",V
likóp,likop,curved chisel,V
likót,likot,to go around from house to house ,V
liksí,liksi,"agility, alertness, active",ADJ
liliknaen,likná,"to feel, sense",V
lilinguanan,liñgwaná,to forget,V
limagas,limgás,"beauty, splendor",NOUN
limámplo,limamplo,fifty,NOUN
limára,limara,"five separate objects, people",V
limás,limas,"to hold up, kidnap",V
limbó,limbo,circle,NOUN
limbóng,limbong,"organization, to organize",NOUN
limlím,limlim,to keep a secret,V
limlimára,limlimara,five only,V
limón,limon,lemon,NOUN
limós,limos,money given as assistance to bereaved family ,V
lináb,linab,"brilliant, resplendent",V
linák,linak,calm,V
lináñg,linang,silt deposited by floods during the rainy season,NOUN
linaó,linao,dew,V
linawa,lináwa,"spirit, breath",NOUN
linawá,linawa,"a desire, want, like",V
lináwa,linawa,"breath, to breathe ",NOUN
linéw,linew,"snow, anything clear and clean like water",V
liñgáw,lingaw,"turn the head to one side, look back",V
lingayen,Lingayén,Lingayen,PROPN
